,1,2,3,5
"baseline",1.0,1.0,1.0,1.0
"[0.9, 0, 0.1]",1.0,0.9933333333333333,0.9333333333333333,0.8533333333333334
"[0.7, 0, 0.1]",1.0,0.92,0.8333333333333334,0.5133333333333333
"[0.9, 0, 0.3]",0.9866666666666667,0.9,0.6666666666666666,0.47333333333333333
"[0.7, 0, 0.3]",0.8933333333333333,0.64,0.38666666666666666,0.17333333333333334
"[0.9, 1, 0.1]",1.0,0.9733333333333334,0.94,0.7133333333333334
"[0.7, 1, 0.1]",0.9933333333333333,0.8733333333333333,0.7866666666666666,0.41333333333333333
"[0.9, 1, 0.3]",0.9733333333333334,0.8066666666666666,0.5666666666666667,0.32
"[0.7, 1, 0.3]",0.8533333333333334,0.54,0.29333333333333333,0.14666666666666667
"[0.9, 3, 0.1]",0.9933333333333333,0.94,0.72,0.44
"[0.7, 3, 0.1]",0.96,0.8066666666666666,0.62,0.22666666666666666
"[0.9, 3, 0.3]",0.9333333333333333,0.7733333333333333,0.38,0.14666666666666667
"[0.7, 3, 0.3]",0.7466666666666667,0.4866666666666667,0.2866666666666667,0.1
